date,tavg,tmin,tmax,prcp,wdir,wspd,pres,hum
3/31/2022,16.5,9.2,23,3.6,7,4.2,1014.8,31
4/1/2022,16.6,9.5,22.9,0,44,3.8,1015,33
4/2/2022,16.4,12.8,20.6,0,293,2.3,1016.1,61
4/3/2022,16.3,12,21.8,12.2,359,3.3,1015.2,51
4/4/2022,16.3,10.8,21.7,2.8,53,4.5,1015.5,45.5
4/5/2022,15.9,13.6,23,27.7,129,3.8,1017,53
4/6/2022,15.2,11.2,21.3,29.5,342,4.1,1017,49.5
4/7/2022,17.1,11.9,21.4,8.6,291,3.3,1015.8,52.5
4/8/2022,15.2,11.7,20.3,28.7,286,3.9,1015,57
4/9/2022,15.7,11.5,21,19.6,275,4.8,1013.8,52.5
4/10/2022,15.7,13.9,18.8,5.3,254,6.7,1013.1,75.5
4/11/2022,17.7,13.4,21.4,2.3,257,5,1012.3,60
4/12/2022,16.1,13.8,22.1,0.3,246,3.4,1011.8,58.5
4/13/2022,16.6,12.1,22.4,17,229,3.5,1011.9,48.5
4/14/2022,17.1,13.5,23.1,0.5,248,3.4,1013,52
4/15/2022,17.3,12.9,23.7,1,283,3.5,1013.3,46
4/16/2022,17.5,11.9,23.3,21.1,323,3.6,1012.2,43
4/17/2022,15.9,13.8,21.8,8.9,301,3.2,1012.7,60
4/18/2022,17.1,11.5,22.1,2.8,276,4.3,1014.6,47
4/19/2022,17.1,13,21.5,0,272,4.1,1015.4,57.5
4/20/2022,16.9,12.4,22.6,0,319,5.3,1013.4,49
4/21/2022,17.1,11.5,21.4,0,258,2.4,1012.7,50.5
4/22/2022,16.3,13,22,0,230,2.8,1013.8,55
4/23/2022,15.7,12.5,18.9,15,258,3.5,1014.3,68
4/24/2022,16.8,12.9,22.5,15.5,317,4.1,1013.3,52
4/25/2022,16.6,12.2,21.4,0,154,3.5,1012.9,54
4/26/2022,17.4,12,23,0,60,4.3,1013.1,45
4/27/2022,18.3,12,23.4,0,56,3.8,1012.7,43
4/28/2022,16.4,12.6,23.2,0,265,3.2,1013.8,47
4/29/2022,16.3,12.1,22.1,13,291,3.8,1014.2,50
4/30/2022,17.7,12.7,22.4,7.1,260,4.6,1012.6,51.5
5/1/2022,16.7,13.8,21.2,2.3,253,8.3,1012,63
5/2/2022,17.9,14.5,22.5,0,270,7.4,1011.7,60
5/3/2022,17.6,14,23.5,0,294,4.6,1012.2,52.5
5/4/2022,17.3,12.3,23.5,0,267,3.8,1013,44
5/5/2022,17.4,13.8,22,0,260,7.9,1013,59
5/6/2022,16.9,13.9,22.2,0,260,7.7,1012,58.5
5/7/2022,17.8,12.7,22.2,0,271,6.8,1011.1,52.5
5/8/2022,17.1,13.5,20.6,0,263,8.6,1010,64.5
5/9/2022,16.8,15,20.5,0,252,13.1,1009.9,72.5
5/10/2022,16.6,14.7,19.6,11.7,258,18.5,1010,75.5
5/11/2022,16.2,14.6,18.1,12,258,20.9,1011.1,82.5
5/12/2022,16.2,13,18.3,2.8,253,16.7,1012,73.5
5/13/2022,16,14.6,17.9,18.8,255,16,1011.5,83.5
5/14/2022,16,14.5,18.2,16,252,17.5,1011.7,81.5
5/15/2022,15.6,14.1,17.1,20.3,256,17.7,1012.8,85
5/16/2022,15.9,14.6,17.6,10.9,251,16.7,1012,85
5/17/2022,16,14.8,17.6,10.2,245,16.1,1011.1,86
5/18/2022,16,16.2,17.6,13.2,245,14.6,1011.9,93
5/19/2022,15.9,15,17.5,12.2,241,15.9,1013.4,87.5
5/20/2022,16.6,14.7,19.8,3.3,247,15.1,1014,74.5
5/21/2022,16.4,15,19.6,1.8,251,17.1,1013.3,77
5/22/2022,16.1,14.2,19.3,1,259,19.5,1012,74.5
5/23/2022,16.2,14.4,18.3,2.9,259,17.4,1011.5,80.5
5/24/2022,16,14.6,18.7,1,253,15.4,1013.5,79.5
5/25/2022,17.3,14.1,20.5,4.8,252,10.2,1014.5,68
5/26/2022,,,,,,,,100
